pt_id,lat,lon,gvi_mean,gvi_median,gvi_std,headings_count,total_valid,total_veg,gvi_weighted
pt00674,40.996013,70.063351,14.43375,14.675,4.902623022423813,8,2040266,294163,14.42
pt00677,40.995985,70.063236,15.8175,16.310000000000002,4.954431638154154,8,2041033,322657,15.81
pt00679,40.995958,70.063119,15.81,14.485,3.7217776090772237,8,2042415,322762,15.8
pt00682,40.995932,70.063003,15.59375,14.594999999999999,4.2823389386775865,8,2042959,318529,15.59
pt00684,40.995906,70.062886,16.46125,15.329999999999998,5.573184361616923,8,2044080,336543,16.46
pt00687,40.995881,70.062768,17.02375,12.274999999999999,11.483019684361278,8,2042634,347911,17.03
pt00689,40.995855,70.06265,25.89,19.86,18.034012310076758,8,2044601,529036,25.87
pt00692,40.995828,70.062532,32.63875,24.515,21.70272954360481,8,2043773,666571,32.61
pt00695,40.995802,70.062416,35.62375,30.765,21.889928497892747,8,2041933,726627,35.59
pt00697,40.995775,70.0623,43.46625,32.99,27.134266652808478,8,2039294,885423,43.42
pt00700,40.99575,70.062184,45.57625,45.445,21.571656627224,8,2038816,928752,45.55
pt00702,40.995725,70.062069,50.22875,44.435,22.192971498394968,8,2033809,1021164,50.21
pt00705,40.995699,70.06195,53.13249999999999,48.275,19.798684480107692,8,2026497,1074870,53.04
pt00707,40.995674,70.061834,52.135,45.51,18.16812043112881,8,2026255,1054312,52.03
pt00710,40.995648,70.061715,44.323750000000004,42.86,16.283612215528663,8,2025064,895866,44.24
pt00713,40.995623,70.0616,44.95,32.56,25.24588509610456,8,2028210,909589,44.85
pt00715,40.995596,70.06148,38.01375,30.895,19.089026718809645,8,2031996,770431,37.91
pt00718,40.995571,70.061365,29.64875,25.65,10.857114109454422,8,2039317,604188,29.63
pt00720,40.995544,70.061247,25.2075,24.785,7.110330010424471,8,2036501,513191,25.2
pt00723,40.995517,70.061127,23.84375,22.814999999999998,6.588942983730935,8,2041548,486761,23.84
pt00725,40.995492,70.061011,28.166249999999998,23.37,11.668688183706488,8,2041450,574542,28.14
pt00728,40.995467,70.060895,34.18375,29.155,14.708437750877168,8,2036608,694950,34.12
pt00731,40.995441,70.060776,39.855000000000004,39.415,10.91822984082781,8,2032742,809426,39.82
pt00733,40.995414,70.060656,41.6175,42.065,15.434279797163935,8,2030388,843136,41.53
pt00736,40.995386,70.060535,38.2975,39.15,5.8469619706061255,8,2035242,779279,38.29
pt00738,40.99536,70.06042,43.03125,40.565,11.185413253110372,8,2033389,874529,43.01
pt00741,40.995334,70.060304,36.74625,39.235,9.64586060368458,8,2034907,747110,36.71
pt00744,40.995307,70.060187,31.46,28.48,9.978223431911255,8,2038235,640436,31.42
pt00746,40.995281,70.06007,34.80375,36.71,6.763464745021067,8,2037341,708899,34.8
pt00749,40.995254,70.059952,45.9375,40.72,20.102492205125785,8,2038133,936202,45.93
pt00751,40.995227,70.059833,30.37,29.145,9.4116842275971,8,2039353,619099,30.36
pt00754,40.995201,70.059714,30.045,28.759999999999998,12.22966884261385,8,2041732,613200,30.03
pt00757,40.995174,70.059594,41.30625,44.33,13.863123681706288,8,2039840,842232,41.29
pt00759,40.995147,70.059475,41.0575,37.504999999999995,12.016543061249235,8,2033375,833370,40.98
pt00762,40.99512,70.059354,38.21875,38.405,15.843474941258489,8,2033269,774930,38.11
pt00764,40.995094,70.05924,35.47375,34.224999999999994,16.560826357487638,8,2033963,719417,35.37
pt00767,40.995066,70.059118,37.42125,35.870000000000005,17.878576515323747,8,2031273,757352,37.28
pt00770,40.99504,70.059003,40.71375,38.185,16.99750060408042,8,2027324,822822,40.59
pt00772,40.995014,70.058886,46.14875,42.82,14.285649580210602,8,2028850,934745,46.07
pt00775,40.994988,70.058768,45.405,46.825,9.854801585304205,8,2032248,921656,45.35
pt00777,40.994961,70.058648,44.45125,40.8,11.181863424441254,8,2030380,900460,44.35
pt00780,40.994934,70.058527,47.7575,49.08,12.577166101425915,8,2031810,968895,47.69
pt00783,40.994907,70.058405,54.17875,57.49,13.308385581493884,8,2042438,1106575,54.18
pt00785,40.99488,70.058283,56.69625,58.0,13.229609580137167,8,2044958,1159356,56.69
pt00788,40.994853,70.058161,60.22625,61.68,12.30381698904856,8,2047044,1232816,60.22
pt00791,40.994828,70.058046,61.68875,60.345,9.820793446996605,8,2045505,1261703,61.68
pt00793,40.994803,70.057932,57.45125,54.725,9.575681158166088,8,2026374,1163276,57.41
pt00796,40.994778,70.057817,51.6425,53.33,15.51906638392179,8,2020094,1041237,51.54
pt00798,40.994752,70.057702,46.16875,54.77,19.74639166857002,8,2014402,926209,45.98
pt00801,40.994726,70.057587,43.705,50.565,21.80469674175727,8,2008884,871603,43.39
pt00803,40.9947,70.057473,36.40625,38.89,22.301342648562024,8,2019499,729632,36.13
pt00806,40.994674,70.057359,33.394999999999996,30.535,22.4853196552773,8,2026727,671841,33.15
pt00808,40.994648,70.057245,32.75875,30.015,21.056796281553783,8,2040028,666547,32.67
pt00811,40.994621,70.05713,35.48375,42.46,17.151722060564563,8,2033319,720005,35.41
pt00813,40.994594,70.057015,39.25125,37.435,12.875718495902055,8,2030998,796877,39.24
pt00816,40.994568,70.0569,42.795,46.045,11.67192969723271,8,2014222,860605,42.73
pt00818,40.994542,70.056785,37.36125,36.435,10.664614971952806,8,2026902,756642,37.33
pt00821,40.994515,70.056669,35.98125,34.595,10.930517485462433,8,2031852,730825,35.97
pt00823,40.994489,70.056552,34.19625,33.54,5.269534914419461,8,2029286,693810,34.19
pt00826,40.994462,70.056436,33.655,31.895,11.582372073851838,8,2029984,682448,33.62
pt00829,40.994436,70.05632,34.3525,34.114999999999995,15.754230044204453,8,2027195,694578,34.26
pt00831,40.99441,70.056205,37.0525,32.9,22.939295511663577,8,2031212,749839,36.92
pt00834,40.994384,70.05609,32.0825,28.435000000000002,19.73471904320621,8,2037364,652554,32.03
